Instruction,Mnemonic,Description,Meaning,Opcode,Type
NOP,,,,0x00,NOP
LW,,,,0x01,Memory
SW,,,,0x02,Memory
ADD,,,,0x03,Register
ADDI,,,,0x04,Immediate
ADDU,,,,0x05,Register
ADDUI,,,,0x06,Immediate
SUB,,,,0x07,Register
SUBI,,,,0x08,Immediate
SUBU,,,,0x09,Register
SUBUI,,,,0x0A,Immediate
AND,,,,0x0B,Register
ANDI,,,,0x0C,Immediate
OR,,,,0x0D,Register
OR,,,,0x0E,Immediate
XOR,,,,0x0F,Register
XORI,,,,0x10,Immediate
SLL,,,,0x11,Register
SLLI,,,,0x12,Immediate
SRL,,,,0x13,Register
SRLI,,,,0x14,Immediate
SRA,,,,0x15,Register
SRAI,,,,0x16,Immediate
SLT,,,,0x17,Register
SLTI,,,,0x18,Immediate
SLTU,,,,0x19,Register
SLTUI,,,,0x1A,Immediate
SGT,,,,0x1B,Register
SGTI,,,,0x1C,Immediate
SGTU,,,,0x1D,Register
SGTUI,,,,0x1E,Immediate
SLE,,,,0x1F,Register
SLEI,,,,0x20,Immediate
SLEU,,,,0x21,Register
SLEUI,,,,0x22,Immediate
SGE,,,,0x23,Register
SGEI,,,,0x24,Immediate
SGEU,,,,0x25,Register
SEGUI,,,,0x26,Immediate
SEQ,,,,0x27,Register
SEQI,,,,0x28,Immediate
SNE,,,,0x29,Register
SNEI,,,,0x2A,Immediate
BEQZ,,,,0x2B,Branch
BNEZ,,,,0x2C,Branch
J,,,,0x2D,Jump
JR,,,,0x2E,Jump
JAL,,,,0x2F,Jump
JALR,,,,0x30,Jump
